Question,Answer,source,question_tokens,answer_tokens,question_indices,answer_indices,question_padded,answer_padded
Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,S08,"['why', 'did', 'lincoln', 'issue', 'the', 'emancipation', 'proclamation']","['<sos>', 'to', 'free', 'slaves', '<eos>']","[54, 14, 142, 851, 4, 2573, 2574]","[2, 13, 1055, 1327, 3]","[54, 14, 142, 851, 4, 2573, 2574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 13, 1055, 1327, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Do scholars rank lincoln among the top three presidents?,Yes,S08,"['do', 'scholars', 'rank', 'lincoln', 'among', 'the', 'top', 'three', 'presidents']","['<sos>', 'yes', '<eos>']","[19, 2575, 1549, 142, 421, 4, 1550, 107, 684]","[2, 6, 3]","[19, 2575, 1549, 142, 421, 4, 1550, 107, 684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did lincoln have 18 months of schooling?,Yes,S08,"['did', 'lincoln', 'have', '18', 'months', 'of', 'schooling']","['<sos>', 'yes', '<eos>']","[14, 142, 21, 852, 562, 5, 2576]","[2, 6, 3]","[14, 142, 21, 852, 562, 5, 2576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Lincoln chosen as a presidential candidate in 1860?,Yes,S08,"['was', 'lincoln', 'chosen', 'as', 'a', 'presidential', 'candidate', 'in', '1860']","['<sos>', 'yes', '<eos>']","[12, 142, 853, 20, 9, 378, 1551, 8, 683]","[2, 6, 3]","[12, 142, 853, 20, 9, 378, 1551, 8, 683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How old was Lincoln in 1816?,seven,S08,"['how', 'old', 'was', 'lincoln', 'in', '1816']","['<sos>', 'seven', '<eos>']","[17, 77, 12, 142, 8, 1093]","[2, 835, 3]","[17, 77, 12, 142, 8, 1093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 835, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When was the first photgraph of lincoln taken?,1846,S08,"['when', 'was', 'the', 'first', 'photgraph', 'of', 'lincoln', 'taken']","['<sos>', '1846', '<eos>']","[24, 12, 4, 44, 2577, 5, 142, 2578]","[2, 2422, 3]","[24, 12, 4, 44, 2577, 5, 142, 2578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2422, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How long was Lincoln's legal Career?,23 years,S08,"['how', 'long', 'was', 'lincolns', 'legal', 'career']","['<sos>', '23', 'years', '<eos>']","[17, 80, 12, 1089, 848, 1091]","[2, 1361, 46, 3]","[17, 80, 12, 1089, 848, 1091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1361, 46, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",S08,"['what', 'trail', 'did', 'lincoln', 'use', 'a', 'farmers', 'almanac', 'in']","['<sos>', 'he', 'defended', 'william', 'duff', 'armstrong', '<eos>']","[10, 2579, 14, 142, 82, 9, 1552, 2580, 8]","[2, 32, 1952, 921, 4366, 4367, 3]","[10, 2579, 14, 142, 82, 9, 1552, 2580, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 32, 1952, 921, 4366, 4367, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Abraham Lincoln live in the Frontier?,Yes,S08,"['did', 'abraham', 'lincoln', 'live', 'in', 'the', 'frontier']","['<sos>', 'yes', '<eos>']","[14, 1088, 142, 83, 8, 4, 1553]","[2, 6, 3]","[14, 1088, 142, 83, 8, 4, 1553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln's Wife's Family support slavery?,Yes,S08,"['did', 'lincolns', 'wifes', 'family', 'support', 'slavery']","['<sos>', 'yes', '<eos>']","[14, 1089, 2581, 62, 379, 854]","[2, 6, 3]","[14, 1089, 2581, 62, 379, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,S08,"['who', 'is', 'most', 'noted', 'for', 'his', 'contributions', 'to', 'the', 'theory', 'of', 'molarity', 'and', 'molecular', 'weight']","['<sos>', 'amedeo', 'avogadro', '<eos>']","[33, 7, 39, 685, 18, 30, 686, 13, 4, 380, 5, 1094, 11, 563, 488]","[2, 211, 85, 3]","[33, 7, 39, 685, 18, 30, 686, 13, 4, 380, 5, 1094, 11, 563, 488, 0, 0, 0, 0, 0]","[2, 211, 85, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,S08,"['who', 'graduated', 'in', 'ecclesiastical', 'law', 'at', 'the', 'early', 'age', 'of', '20', 'and', 'began', 'to', 'practice']","['<sos>', 'amedeo', 'avogadro', '<eos>']","[33, 2582, 8, 1554, 180, 36, 4, 314, 315, 5, 1095, 11, 422, 13, 1555]","[2, 211, 85, 3]","[33, 2582, 8, 1554, 180, 36, 4, 314, 315, 5, 1095, 11, 422, 13, 1555, 0, 0, 0, 0, 0]","[2, 211, 85, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did he publish another memoria?,1821,S08,"['when', 'did', 'he', 'publish', 'another', 'memoria']","['<sos>', '1821', '<eos>']","[24, 14, 32, 381, 290, 2583]","[2, 2423, 3]","[24, 14, 32, 381, 290, 2583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2423, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did he become a professor?,1820,S08,"['when', 'did', 'he', 'become', 'a', 'professor']","['<sos>', '1820', '<eos>']","[24, 14, 32, 160, 9, 150]","[2, 687, 3]","[24, 14, 32, 160, 9, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 687, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is it true that he became a professor in 1820?,yes,S08,"['is', 'it', 'true', 'that', 'he', 'became', 'a', 'professor', 'in', '1820']","['<sos>', 'yes', '<eos>']","[7, 27, 84, 35, 32, 226, 9, 150, 8, 687]","[2, 6, 3]","[7, 27, 84, 35, 32, 226, 9, 150, 8, 687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,S08,"['was', 'lorenzo', 'romano', 'amedeo', 'carlo', 'avogadro', 'an', 'italian', 'savant']","['<sos>', 'yes', '<eos>']","[12, 1556, 2584, 211, 2585, 85, 22, 489, 2586]","[2, 6, 3]","[12, 1556, 2584, 211, 2585, 85, 22, 489, 2586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,S08,"['was', 'amedeo', 'avogadro', 'born', 'in', 'turin', 'august', '9th', '1776', 'to', 'a', 'noble', 'ancient', 'family', 'of', 'piedmont', 'italy']","['<sos>', 'yes', '<eos>']","[12, 211, 85, 47, 8, 340, 688, 2587, 855, 13, 9, 2588, 490, 62, 5, 2589, 1096]","[2, 6, 3]","[12, 211, 85, 47, 8, 340, 688, 2587, 855, 13, 9, 2588, 490, 62, 5, 2589, 1096, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,S08,"['is', 'he', 'most', 'noted', 'for', 'his', 'contributions', 'to', 'the', 'theory', 'of', 'molarity', 'and', 'molecular', 'weight']","['<sos>', 'yes', '<eos>']","[7, 32, 39, 685, 18, 30, 686, 13, 4, 380, 5, 1094, 11, 563, 488]","[2, 6, 3]","[7, 32, 39, 685, 18, 30, 686, 13, 4, 380, 5, 1094, 11, 563, 488, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,S08,"['was', 'king', 'victor', 'emmanuel', 'iii', 'there', 'to', 'pay', 'homage', 'to', 'avogadro']","['<sos>', 'yes', '<eos>']","[12, 564, 1097, 1557, 1558, 41, 13, 1098, 1559, 13, 85]","[2, 6, 3]","[12, 564, 1097, 1557, 1558, 41, 13, 1098, 1559, 13, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,S08,"['is', 'avogadro', 's', 'number', 'commonly', 'used', 'to', 'compute', 'the', 'results', 'of', 'chemical', 'reactions']","['<sos>', 'yes', '<eos>']","[7, 85, 132, 91, 856, 55, 13, 1099, 4, 857, 5, 491, 1100]","[2, 6, 3]","[7, 85, 132, 91, 856, 55, 13, 1099, 4, 857, 5, 491, 1100, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did the scientific community not reserve great attention to his theory ?,yes,S08,"['did', 'the', 'scientific', 'community', 'not', 'reserve', 'great', 'attention', 'to', 'his', 'theory']","['<sos>', 'yes', '<eos>']","[14, 4, 689, 565, 49, 858, 566, 1560, 13, 30, 380]","[2, 6, 3]","[14, 4, 689, 565, 49, 858, 566, 1560, 13, 30, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Can the title of this famous 1811 paper be roughly translated into english?,yes,S08,"['can', 'the', 'title', 'of', 'this', 'famous', '1811', 'paper', 'be', 'roughly', 'translated', 'into', 'english']","['<sos>', 'yes', '<eos>']","[50, 4, 1561, 5, 190, 262, 690, 341, 56, 859, 1562, 108, 87]","[2, 6, 3]","[50, 4, 1561, 5, 190, 262, 690, 341, 56, 859, 1562, 108, 87, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What happened in 1833?,Avogadro had been recalled to Turin university,S08,"['what', 'happened', 'in', '1833']","['<sos>', 'avogadro', 'had', 'been', 'recalled', 'to', 'turin', 'university', '<eos>']","[10, 88, 8, 2590]","[2, 85, 121, 60, 4368, 13, 340, 70, 3]","[10, 88, 8, 2590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 85, 121, 60, 4368, 13, 340, 70, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,S08,"['who', 'determined', 'the', 'dependence', 'of', 'the', 'boiling', 'of', 'water', 'with', 'atmospheric', 'pressure']","['<sos>', 'anders', 'celsius', '<eos>']","[33, 691, 4, 1101, 5, 4, 423, 5, 99, 34, 860, 492]","[2, 342, 151, 3]","[33, 691, 4, 1101, 5, 4, 423, 5, 99, 34, 860, 492, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 342, 151, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is named after him?,The Celsius crater on the Moon,S08,"['what', 'is', 'named', 'after', 'him']","['<sos>', 'the', 'celsius', 'crater', 'on', 'the', 'moon', '<eos>']","[10, 7, 100, 68, 212]","[2, 4, 151, 426, 28, 4, 427, 3]","[10, 7, 100, 68, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 151, 426, 28, 4, 427, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did he publish a collection?,1733,S08,"['when', 'did', 'he', 'publish', 'a', 'collection']","['<sos>', '1733', '<eos>']","[24, 14, 32, 381, 9, 424]","[2, 2424, 3]","[24, 14, 32, 381, 9, 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2424, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is it true that he published a collection in 1738?,No,S08,"['is', 'it', 'true', 'that', 'he', 'published', 'a', 'collection', 'in', '1738']","['<sos>', 'no', '<eos>']","[7, 27, 84, 35, 32, 425, 9, 424, 8, 2591]","[2, 16, 3]","[7, 27, 84, 35, 32, 425, 9, 424, 8, 2591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is it true that thermometer had 100 for the freezing point?,Yes,S08,"['is', 'it', 'true', 'that', 'thermometer', 'had', '100', 'for', 'the', 'freezing', 'point']","['<sos>', 'yes', '<eos>']","[7, 27, 84, 35, 1102, 121, 1563, 18, 4, 861, 263]","[2, 6, 3]","[7, 27, 84, 35, 1102, 121, 1563, 18, 4, 861, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Celsius born in Uppsala in Sweden?,Yes,S08,"['was', 'celsius', 'born', 'in', 'uppsala', 'in', 'sweden']","['<sos>', 'yes', '<eos>']","[12, 151, 47, 8, 567, 8, 692]","[2, 6, 3]","[12, 151, 47, 8, 567, 8, 692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,S08,"['was', 'anders', 'celsius', 'november', '27', '1701', 'april', '25', '1744', 'a', 'swedish', 'astronomer']","['<sos>', 'yes', '<eos>']","[12, 342, 151, 862, 1103, 1564, 693, 694, 1104, 9, 343, 1565]","[2, 6, 3]","[12, 342, 151, 862, 1103, 1564, 693, 694, 1104, 9, 343, 1565, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is The Celsius crater on the Moon named after him?,Yes,S08,"['is', 'the', 'celsius', 'crater', 'on', 'the', 'moon', 'named', 'after', 'him']","['<sos>', 'yes', '<eos>']","[7, 4, 151, 426, 28, 4, 427, 100, 68, 212]","[2, 6, 3]","[7, 4, 151, 426, 28, 4, 427, 100, 68, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,S08,"['who', 'was', 'the', 'first', 'to', 'perform', 'and', 'publish', 'careful', 'experiments', 'aiming', 'at', 'the', 'definition', 'of', 'an', 'international', 'temperature', 'scale', 'on', 'scientific', 'grounds']","['<sos>', 'anders', 'celsius', '<eos>']","[33, 12, 4, 44, 13, 1566, 11, 381, 1567, 695, 1105, 36, 4, 568, 5, 22, 227, 428, 493, 28, 689, 1106]","[2, 342, 151, 3]","[33, 12, 4, 44, 13, 1566, 11, 381, 1567, 695, 1105, 36, 4, 568, 5, 22, 227, 428, 493, 28]","[2, 342, 151, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Celsius crater on the Moon is what?,named after him,S08,"['the', 'celsius', 'crater', 'on', 'the', 'moon', 'is', 'what']","['<sos>', 'named', 'after', 'him', '<eos>']","[4, 151, 426, 28, 4, 427, 7, 10]","[2, 100, 68, 212, 3]","[4, 151, 426, 28, 4, 427, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 100, 68, 212, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is the Celsius crater on the Moon named after him ?,Yes,S08,"['is', 'the', 'celsius', 'crater', 'on', 'the', 'moon', 'named', 'after', 'him']","['<sos>', 'yes', '<eos>']","[7, 4, 151, 426, 28, 4, 427, 100, 68, 212]","[2, 6, 3]","[7, 4, 151, 426, 28, 4, 427, 100, 68, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,S08,"['had', 'his', 'thermometer', '100', 'for', 'the', 'freezing', 'point', 'of', 'water', 'and', '0', 'for', 'the', 'boiling', 'point']","['<sos>', 'yes', 'it', 'had', '<eos>']","[121, 30, 1102, 1563, 18, 4, 861, 263, 5, 99, 11, 1568, 18, 4, 423, 263]","[2, 6, 27, 121, 3]","[121, 30, 1102, 1563, 18, 4, 861, 263, 5, 99, 11, 1568, 18, 4, 423, 263, 0, 0, 0, 0]","[2, 6, 27, 121, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
