Question,Answer,source,question_tokens,answer_tokens,question_indices,answer_indices,question_padded,answer_padded
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",S08,"['what', 'did', 'the', 'legal', 'tender', 'act', 'of', '1862', 'establish']","['<sos>', 'the', 'united', 'states', 'note', 'the', 'first', 'paper', 'currency', 'in', 'united', 'states', 'history', '<eos>']","[10, 14, 4, 883, 2297, 413, 5, 2298, 1279]","[2, 4, 87, 105, 1000, 4, 44, 416, 1402, 8, 87, 105, 428, 3]","[10, 14, 4, 883, 2297, 413, 5, 2298, 1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 87, 105, 1000, 4, 44, 416, 1402, 8, 87, 105, 428, 3, 0, 0, 0, 0, 0, 0]"
What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history.",S08,"['what', 'did', 'the', 'legal', 'tender', 'act', 'of', '1862', 'establish']","['<sos>', 'the', 'united', 'states', 'note', 'the', 'first', 'paper', 'currency', 'in', 'united', 'states', 'history', '<eos>']","[10, 14, 4, 883, 2297, 413, 5, 2298, 1279]","[2, 4, 87, 105, 1000, 4, 44, 416, 1402, 8, 87, 105, 428, 3]","[10, 14, 4, 883, 2297, 413, 5, 2298, 1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 87, 105, 1000, 4, 44, 416, 1402, 8, 87, 105, 428, 3, 0, 0, 0, 0, 0, 0]"
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,S08,"['who', 'suggested', 'lincoln', 'grow', 'a', 'beard']","['<sos>', '11yearold', 'grace', 'bedell', '<eos>']","[30, 2299, 136, 1054, 9, 2300]","[2, 4835, 595, 3308, 3]","[30, 2299, 136, 1054, 9, 2300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4835, 595, 3308, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who suggested Lincoln grow a beard?,Grace Bedell.,S08,"['who', 'suggested', 'lincoln', 'grow', 'a', 'beard']","['<sos>', 'grace', 'bedell', '<eos>']","[30, 2299, 136, 1054, 9, 2300]","[2, 595, 3308, 3]","[30, 2299, 136, 1054, 9, 2300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 595, 3308, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did the Gettysburg address argue that America was born?,1776,S08,"['when', 'did', 'the', 'gettysburg', 'address', 'argue', 'that', 'america', 'was', 'born']","['<sos>', '1776', '<eos>']","[24, 14, 4, 2301, 2302, 1280, 38, 199, 11, 48]","[2, 1057, 3]","[24, 14, 4, 2301, 2302, 1280, 38, 199, 11, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1057, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did the Gettysburg address argue that America was born?,1776.,S08,"['when', 'did', 'the', 'gettysburg', 'address', 'argue', 'that', 'america', 'was', 'born']","['<sos>', '1776', '<eos>']","[24, 14, 4, 2301, 2302, 1280, 38, 199, 11, 48]","[2, 1057, 3]","[24, 14, 4, 2301, 2302, 1280, 38, 199, 11, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1057, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,S08,"['did', 'lincoln', 'beat', 'john', 'c', 'breckinridge', 'in', 'the', '1860', 'election']","['<sos>', 'yes', '<eos>']","[14, 136, 2303, 97, 533, 2304, 8, 4, 756, 443]","[2, 6, 3]","[14, 136, 2303, 97, 533, 2304, 8, 4, 756, 443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes.,S08,"['did', 'lincoln', 'beat', 'john', 'c', 'breckinridge', 'in', 'the', '1860', 'election']","['<sos>', 'yes', '<eos>']","[14, 136, 2303, 97, 533, 2304, 8, 4, 756, 443]","[2, 6, 3]","[14, 136, 2303, 97, 533, 2304, 8, 4, 756, 443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Abraham Lincoln the first President of the United States?,No,S08,"['was', 'abraham', 'lincoln', 'the', 'first', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'no', '<eos>']","[11, 1051, 136, 4, 44, 69, 5, 4, 87, 105]","[2, 16, 3]","[11, 1051, 136, 4, 44, 69, 5, 4, 87, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Abraham Lincoln the first President of the United States?,No,S08,"['was', 'abraham', 'lincoln', 'the', 'first', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'no', '<eos>']","[11, 1051, 136, 4, 44, 69, 5, 4, 87, 105]","[2, 16, 3]","[11, 1051, 136, 4, 44, 69, 5, 4, 87, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln start his political career in 1832?,Yes,S08,"['did', 'lincoln', 'start', 'his', 'political', 'career', 'in', '1832']","['<sos>', 'yes', '<eos>']","[14, 136, 1281, 33, 321, 1053, 8, 757]","[2, 6, 3]","[14, 136, 1281, 33, 321, 1053, 8, 757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln start his political career in 1832?,Yes,S08,"['did', 'lincoln', 'start', 'his', 'political', 'career', 'in', '1832']","['<sos>', 'yes', '<eos>']","[14, 136, 1281, 33, 321, 1053, 8, 757]","[2, 6, 3]","[14, 136, 1281, 33, 321, 1053, 8, 757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,S08,"['did', 'lincoln', 'ever', 'represent', 'alton', 'sangamon', 'railroad']","['<sos>', 'yes', '<eos>']","[14, 136, 381, 1282, 2305, 2306, 2307]","[2, 6, 3]","[14, 136, 381, 1282, 2305, 2306, 2307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,S08,"['did', 'lincoln', 'ever', 'represent', 'alton', 'sangamon', 'railroad']","['<sos>', 'yes', '<eos>']","[14, 136, 381, 1282, 2305, 2306, 2307]","[2, 6, 3]","[14, 136, 381, 1282, 2305, 2306, 2307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Which county was Lincoln born in?,Hardin County,S08,"['which', 'county', 'was', 'lincoln', 'born', 'in']","['<sos>', 'hardin', 'county', '<eos>']","[42, 339, 11, 136, 48, 8]","[2, 3309, 339, 3]","[42, 339, 11, 136, 48, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3309, 339, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Which county was Lincoln born in?,"Southeast Hardin County, Kentucky",S08,"['which', 'county', 'was', 'lincoln', 'born', 'in']","['<sos>', 'southeast', 'hardin', 'county', 'kentucky', '<eos>']","[42, 339, 11, 136, 48, 8]","[2, 2213, 3309, 339, 4836, 3]","[42, 339, 11, 136, 48, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2213, 3309, 339, 4836, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did Lincoln first serve as President?,"March 4, 1861",S08,"['when', 'did', 'lincoln', 'first', 'serve', 'as', 'president']","['<sos>', 'march', '4', '1861', '<eos>']","[24, 14, 136, 44, 488, 20, 69]","[2, 556, 404, 2214, 3]","[24, 14, 136, 44, 488, 20, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 556, 404, 2214, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did Lincoln first serve as President?,"March 4, 1861",S08,"['when', 'did', 'lincoln', 'first', 'serve', 'as', 'president']","['<sos>', 'march', '4', '1861', '<eos>']","[24, 14, 136, 44, 488, 20, 69]","[2, 556, 404, 2214, 3]","[24, 14, 136, 44, 488, 20, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 556, 404, 2214, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who assassinated Lincoln?,John Wilkes Booth,S08,"['who', 'assassinated', 'lincoln']","['<sos>', 'john', 'wilkes', 'booth', '<eos>']","[30, 2308, 136]","[2, 97, 3310, 3311, 3]","[30, 2308, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 97, 3310, 3311, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who assassinated Lincoln?,John Wilkes Booth,S08,"['who', 'assassinated', 'lincoln']","['<sos>', 'john', 'wilkes', 'booth', '<eos>']","[30, 2308, 136]","[2, 97, 3310, 3311, 3]","[30, 2308, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 97, 3310, 3311, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln win the election of 1860?,Yes,S08,"['did', 'lincoln', 'win', 'the', 'election', 'of', '1860']","['<sos>', 'yes', '<eos>']","[14, 136, 266, 4, 443, 5, 756]","[2, 6, 3]","[14, 136, 266, 4, 443, 5, 756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln win the election of 1860?,Yes,S08,"['did', 'lincoln', 'win', 'the', 'election', 'of', '1860']","['<sos>', 'yes', '<eos>']","[14, 136, 266, 4, 443, 5, 756]","[2, 6, 3]","[14, 136, 266, 4, 443, 5, 756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who was the general in charge at the Battle of Antietam?,General McClellan,S08,"['who', 'was', 'the', 'general', 'in', 'charge', 'at', 'the', 'battle', 'of', 'antietam']","['<sos>', 'general', 'mcclellan', '<eos>']","[30, 11, 4, 382, 8, 588, 37, 4, 383, 5, 2309]","[2, 382, 4837, 3]","[30, 11, 4, 382, 8, 588, 37, 4, 383, 5, 2309, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 382, 4837, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who was the general in charge at the Battle of Antietam?,John Alexander McClernand,S08,"['who', 'was', 'the', 'general', 'in', 'charge', 'at', 'the', 'battle', 'of', 'antietam']","['<sos>', 'john', 'alexander', 'mcclernand', '<eos>']","[30, 11, 4, 382, 8, 588, 37, 4, 383, 5, 2309]","[2, 97, 1128, 4838, 3]","[30, 11, 4, 382, 8, 588, 37, 4, 383, 5, 2309, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 97, 1128, 4838, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,S08,"['why', 'did', 'lincoln', 'issue', 'the', 'emancipation', 'proclamation']","['<sos>', 'to', 'free', 'slaves', '<eos>']","[47, 14, 136, 589, 4, 2310, 2311]","[2, 13, 1026, 1464, 3]","[47, 14, 136, 589, 4, 2310, 2311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 13, 1026, 1464, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Why did Lincoln issue the Emancipation Proclamation?,"The goal was to weaken the rebellion, which was led and controlled by slave owners.",S08,"['why', 'did', 'lincoln', 'issue', 'the', 'emancipation', 'proclamation']","['<sos>', 'the', 'goal', 'was', 'to', 'weaken', 'the', 'rebellion', 'which', 'was', 'led', 'and', 'controlled', 'by', 'slave', 'owners', '<eos>']","[47, 14, 136, 589, 4, 2310, 2311]","[2, 4, 4839, 11, 13, 4840, 4, 2809, 42, 11, 795, 12, 4841, 27, 4842, 4843, 3]","[47, 14, 136, 589, 4, 2310, 2311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 4839, 11, 13, 4840, 4, 2809, 42, 11, 795, 12, 4841, 27, 4842, 4843, 3, 0, 0, 0]"
Do scholars rank lincoln among the top three presidents?,Yes,S08,"['do', 'scholars', 'rank', 'lincoln', 'among', 'the', 'top', 'three', 'presidents']","['<sos>', 'yes', '<eos>']","[18, 3797, 1283, 136, 489, 4, 2312, 127, 758]","[2, 6, 3]","[18, 3797, 1283, 136, 489, 4, 2312, 127, 758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did lincoln have 18 months of schooling?,Yes,S08,"['did', 'lincoln', 'have', '18', 'months', 'of', 'schooling']","['<sos>', 'yes', '<eos>']","[14, 136, 21, 884, 666, 5, 3798]","[2, 6, 3]","[14, 136, 21, 884, 666, 5, 3798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Lincoln chosen as a presidential candidate in 1860?,Yes,S08,"['was', 'lincoln', 'chosen', 'as', 'a', 'presidential', 'candidate', 'in', '1860']","['<sos>', 'yes', '<eos>']","[11, 136, 1055, 20, 9, 414, 2313, 8, 756]","[2, 6, 3]","[11, 136, 1055, 20, 9, 414, 2313, 8, 756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How old was Lincoln in 1816?,seven,S08,"['how', 'old', 'was', 'lincoln', 'in', '1816']","['<sos>', 'seven', '<eos>']","[17, 83, 11, 136, 8, 1685]","[2, 1243, 3]","[17, 83, 11, 136, 8, 1685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1243, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When was the first photgraph of lincoln taken?,1846,S08,"['when', 'was', 'the', 'first', 'photgraph', 'of', 'lincoln', 'taken']","['<sos>', '1846', '<eos>']","[24, 11, 4, 44, 3799, 5, 136, 2314]","[2, 3312, 3]","[24, 11, 4, 44, 3799, 5, 136, 2314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3312, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How long was Lincoln's legal Career?,23 years,S08,"['how', 'long', 'was', 'lincolns', 'legal', 'career']","['<sos>', '23', 'years', '<eos>']","[17, 82, 11, 1278, 883, 1053]","[2, 1488, 55, 3]","[17, 82, 11, 1278, 883, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1488, 55, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",S08,"['what', 'trail', 'did', 'lincoln', 'use', 'a', 'farmers', 'almanac', 'in']","['<sos>', 'he', 'defended', 'william', 'duff', 'armstrong', '<eos>']","[10, 3800, 14, 136, 78, 9, 2315, 3801, 8]","[2, 34, 2780, 1125, 4844, 4845, 3]","[10, 3800, 14, 136, 78, 9, 2315, 3801, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 34, 2780, 1125, 4844, 4845, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Abraham Lincoln live in the Frontier?,Yes,S08,"['did', 'abraham', 'lincoln', 'live', 'in', 'the', 'frontier']","['<sos>', 'yes', '<eos>']","[14, 1051, 136, 84, 8, 4, 2316]","[2, 6, 3]","[14, 1051, 136, 84, 8, 4, 2316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln's Wife's Family support slavery?,Yes,S08,"['did', 'lincolns', 'wifes', 'family', 'support', 'slavery']","['<sos>', 'yes', '<eos>']","[14, 1278, 3802, 66, 384, 885]","[2, 6, 3]","[14, 1278, 3802, 66, 384, 885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,S08,"['who', 'is', 'most', 'noted', 'for', 'his', 'contributions', 'to', 'the', 'theory', 'of', 'molarity', 'and', 'molecular', 'weight']","['<sos>', 'amedeo', 'avogadro', '<eos>']","[30, 7, 41, 759, 19, 33, 760, 13, 4, 267, 5, 1284, 12, 667, 444]","[2, 268, 85, 3]","[30, 7, 41, 759, 19, 33, 760, 13, 4, 267, 5, 1284, 12, 667, 444, 0, 0, 0, 0, 0]","[2, 268, 85, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,S08,"['who', 'graduated', 'in', 'ecclesiastical', 'law', 'at', 'the', 'early', 'age', 'of', '20', 'and', 'began', 'to', 'practice']","['<sos>', 'amedeo', 'avogadro', '<eos>']","[30, 2317, 8, 1285, 141, 37, 4, 301, 340, 5, 886, 12, 534, 13, 1056]","[2, 268, 85, 3]","[30, 2317, 8, 1285, 141, 37, 4, 301, 340, 5, 886, 12, 534, 13, 1056, 0, 0, 0, 0, 0]","[2, 268, 85, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah,S08,"['who', 'graduated', 'in', 'ecclesiastical', 'law', 'at', 'the', 'early', 'age', 'of', '20', 'and', 'began', 'to', 'practice']","['<sos>', 'blah', '<eos>']","[30, 2317, 8, 1285, 141, 37, 4, 301, 340, 5, 886, 12, 534, 13, 1056]","[2, 1631, 3]","[30, 2317, 8, 1285, 141, 37, 4, 301, 340, 5, 886, 12, 534, 13, 1056, 0, 0, 0, 0, 0]","[2, 1631, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did he publish another memoria?,1821,S08,"['when', 'did', 'he', 'publish', 'another', 'memoria']","['<sos>', '1821', '<eos>']","[24, 14, 34, 535, 385, 3803]","[2, 2215, 3]","[24, 14, 34, 535, 385, 3803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2215, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did he become a professor?,1820,S08,"['when', 'did', 'he', 'become', 'a', 'professor']","['<sos>', '1820', '<eos>']","[24, 14, 34, 170, 9, 171]","[2, 887, 3]","[24, 14, 34, 170, 9, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 887, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is it true that he became a professor in 1820?,yes,S08,"['is', 'it', 'true', 'that', 'he', 'became', 'a', 'professor', 'in', '1820']","['<sos>', 'yes', '<eos>']","[7, 32, 138, 38, 34, 253, 9, 171, 8, 887]","[2, 6, 3]","[7, 32, 138, 38, 34, 253, 9, 171, 8, 887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,S08,"['was', 'lorenzo', 'romano', 'amedeo', 'carlo', 'avogadro', 'an', 'italian', 'savant']","['<sos>', 'yes', '<eos>']","[11, 2318, 3804, 268, 3805, 85, 23, 490, 3806]","[2, 6, 3]","[11, 2318, 3804, 268, 3805, 85, 23, 490, 3806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,S08,"['was', 'amedeo', 'avogadro', 'born', 'in', 'turin', 'august', '9th', '1776', 'to', 'a', 'noble', 'ancient', 'family', 'of', 'piedmont', 'italy']","['<sos>', 'yes', '<eos>']","[11, 268, 85, 48, 8, 302, 888, 3807, 1057, 13, 9, 3808, 590, 66, 5, 3809, 1286]","[2, 6, 3]","[11, 268, 85, 48, 8, 302, 888, 3807, 1057, 13, 9, 3808, 590, 66, 5, 3809, 1286, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
